TimeCreated,EventID,EventName,SubjectUserName,TargetUserName,IpAddress,LogonType,Status,ProcessName
2026-04-26T01:05:00Z,4625,An account failed to log on,SYSTEM,Administrator,203.0.113.42,3,0xC000006D,N/A
2026-04-26T01:05:02Z,4625,An account failed to log on,SYSTEM,Administrator,203.0.113.42,3,0xC000006D,N/A
2026-04-26T01:05:04Z,4625,An account failed to log on,SYSTEM,Administrator,203.0.113.42,3,0xC000006D,N/A
2026-04-26T01:05:06Z,4625,An account failed to log on,SYSTEM,Administrator,203.0.113.42,3,0xC000006D,N/A
2026-04-26T01:05:08Z,4625,An account failed to log on,SYSTEM,Administrator,203.0.113.42,3,0xC000006D,N/A
2026-04-26T01:12:00Z,4624,An account was successfully logged on,SYSTEM,jsmith,10.0.0.15,3,0x0,N/A
2026-04-26T01:12:01Z,4672,Special privileges assigned to new logon,jsmith,jsmith,10.0.0.15,3,0x0,N/A
2026-04-26T03:10:00Z,4624,An account was successfully logged on,SYSTEM,jsmith,10.0.0.15,10,0x0,N/A
2026-04-26T03:10:05Z,4688,A new process has been created,jsmith,jsmith,N/A,N/A,N/A,C:\Windows\System32\cmd.exe
2026-04-26T03:10:10Z,4688,A new process has been created,jsmith,jsmith,N/A,N/A,N/A,C:\Windows\System32\powershell.exe
2026-04-26T03:10:15Z,4688,A new process has been created,jsmith,jsmith,N/A,N/A,N/A,C:\Windows\System32\net.exe
2026-04-26T03:10:20Z,4732,A member was added to a security-enabled local group,jsmith,Administrators,N/A,N/A,N/A,N/A
2026-04-26T07:00:00Z,4625,An account failed to log on,SYSTEM,devuser,45.33.32.156,3,0xC000006D,N/A
2026-04-26T07:00:02Z,4625,An account failed to log on,SYSTEM,devuser,45.33.32.156,3,0xC000006D,N/A
2026-04-26T08:30:00Z,4624,An account was successfully logged on,SYSTEM,sysadmin,192.168.1.50,3,0x0,N/A
2026-04-26T08:30:05Z,4698,A scheduled task was created,sysadmin,sysadmin,192.168.1.50,N/A,N/A,N/A
2026-04-26T09:00:00Z,4776,The computer attempted to validate credentials,SYSTEM,backupadmin,198.51.100.7,N/A,0xC0000064,N/A
2026-04-26T10:00:00Z,4634,An account was logged off,SYSTEM,jsmith,10.0.0.15,3,0x0,N/A
2026-04-26T10:05:00Z,1102,The audit log was cleared,sysadmin,N/A,N/A,N/A,N/A,N/A
